Instance,Swaps,Height,TimeIter,TimeBin
6x6_001,7,5,65,79
6x6_002,1,1,9,0
6x6_003,5,4,56,61
6x6_004,10,7,168,139
6x6_005,6,3,42,30
6x6_006,15,9,494,546
6x6_007,12,6,117,159
6x6_008,5,4,139,74
6x6_009,0,0,0,0
6x6_010,6,5,107,137
6x6_011,4,3,35,25
6x6_012,9,5,69,77
6x6_013,8,4,77,130
6x6_014,4,3,66,29
