Instance,Swaps,Height,TimeIter,TimeBin
5x5_001,2,1,416,30
5x5_002,7,4,243,182
5x5_003,3,3,51,41
5x5_004,3,3,40,32
5x5_005,1,1,10,0
5x5_006,8,5,89,105
5x5_007,5,4,41,49
5x5_008,8,5,84,76
5x5_009,5,4,37,45
5x5_010,6,4,34,54
5x5_011,3,3,26,31
5x5_012,5,3,78,49
5x5_013,0,0,0,0
5x5_014,4,3,29,27
